incident_id,scenario,service,is_correct,confidence,evidence_score,latency_ms
INC-001,DB_POOL_EXHAUSTION,payment-service,True,0.92,1.0,4803.685903549194
INC-002,MEMORY_LEAK_OOM,analytics-service,True,0.94,1.0,71.99406623840332
INC-003,UPSTREAM_TIMEOUT,checkout-service,True,0.9,1.0,52.268266677856445
INC-004,CPU_THROTTLING,auth-service,True,0.91,1.0,53.388118743896484
INC-005,DB_POOL_EXHAUSTION,order-service,True,0.92,1.0,60.883283615112305
INC-006,UPSTREAM_TIMEOUT,notification-service,True,0.9,1.0,71.08521461486816
INC-007,MEMORY_LEAK_OOM,user-service,True,0.94,1.0,44.24309730529785
INC-008,CPU_THROTTLING,inventory-service,True,0.91,1.0,56.001901626586914
INC-009,DB_POOL_EXHAUSTION,billing-service,True,0.92,1.0,65.22583961486816
INC-010,MEMORY_LEAK_OOM,search-service,True,0.94,1.0,50.86159706115723
INC-011,UPSTREAM_TIMEOUT,shipping-service,True,0.9,1.0,66.38813018798828
INC-012,CPU_THROTTLING,cart-service,True,0.91,1.0,63.580989837646484
INC-013,UPSTREAM_TIMEOUT,gateway-service,True,0.9,1.0,51.712989807128906
INC-014,MEMORY_LEAK_OOM,reporting-service,True,0.94,1.0,60.87327003479004
INC-015,DB_POOL_EXHAUSTION,payment-service,True,0.92,1.0,58.927059173583984
INC-016,CPU_THROTTLING,auth-service,True,0.91,1.0,49.09849166870117
INC-017,MEMORY_LEAK_OOM,analytics-service,True,0.94,1.0,62.05320358276367
INC-018,UPSTREAM_TIMEOUT,notification-service,True,0.9,1.0,43.920040130615234
INC-019,DB_POOL_EXHAUSTION,checkout-service,True,0.92,1.0,61.157941818237305
INC-020,UPSTREAM_TIMEOUT,order-service,True,0.9,1.0,105.52859306335449
INC-021,MEMORY_LEAK_OOM,inventory-service,True,0.94,1.0,70.05548477172852
INC-022,CPU_THROTTLING,billing-service,True,0.91,1.0,71.80237770080566
INC-023,DB_POOL_EXHAUSTION,user-service,True,0.92,1.0,98.10471534729004
INC-024,UPSTREAM_TIMEOUT,search-service,True,0.9,1.0,62.99567222595215
INC-025,MEMORY_LEAK_OOM,cart-service,True,0.94,1.0,45.897483825683594
INC-026,CPU_THROTTLING,shipping-service,True,0.91,1.0,42.76323318481445
INC-027,UPSTREAM_TIMEOUT,payment-service,True,0.9,1.0,58.708906173706055
INC-028,CPU_THROTTLING,gateway-service,True,0.91,1.0,69.34142112731934
INC-029,DB_POOL_EXHAUSTION,reporting-service,True,0.92,1.0,84.74206924438477
INC-030,MEMORY_LEAK_OOM,order-service,True,0.94,1.0,92.2853946685791
